,ticker,volume
600,SADM,15676.973614775725
862,ESEA,15624.912840466926
717,EL4Z,15272.07053291536
731,ESGU,15247.62391132225
221,XDGE,15236.819749216302
93,VGTY,15181.552652414885
327,DXSA,15059.782915360502
78,SYBZ,15041.635787806808
735,XUTC,14911.920823436263
196,TIUP,14644.710213776722
384,VGEJ,14524.631828978623
532,TIGR,14189.735897435898
14,ETLF,14184.59065716548
373,VGWD,14063.106096595408
785,AYEG,14058.971818958156
734,QDVD,14054.67775138559
341,FUSD,14046.319749216302
450,LYMK,13888.70739299611
197,SYBY,13864.890736342042
188,EUNX,13798.068091844814
592,SPYM,13789.425969912905
633,D6RR,13686.47577092511
497,IBC9,13659.49406175772
603,10AR,13636.869358669834
97,IBC7,13636.759714512293
87,IS0X,13614.06017418844
120,A4H8,13545.185214007783
43,IEXA,13541.921052631578
769,XDWS,13503.790182106097
929,EAH,13348.212086659065
117,EUNS,13079.595611285267
877,XDPE,13005.728056426333
28,EUNH,12982.26207442597
886,ZPDK,12948.05146476643
852,SPPY,12890.484502446981
178,SYBL,12843.438638163103
707,IBCJ,12820.730007917657
210,SYBT,12760.851939825812
864,SXR8,12754.894901960784
366,SECD,12706.377110694184
733,XUHC,12697.86460807601
410,IQQ6,12687.65530903328
141,XBAE,12493.30407523511
868,SPY5,12478.170229612035
25,LYTR,12462.599388379205
273,EXXW,12236.937304075234
328,EL4G,12229.039184952979
502,UINF,12178.709422011085
591,LNY4,12152.233333333334
113,UIQL,12109.476078431373
61,LMTH,11959.569306930693
615,EMNE,11893.753918495298
304,WMIN,11844.3855898654
806,H41D,11666.990654205607
442,XU8Z,11626.323063380281
492,XHY1,11579.094043887148
209,TRDS,11518.197941409342
742,IQQ2,11515.081551860649
719,SC0H,11380.377672209026
433,EUN3,11296.29849564529
933,ELFB,11287.119122257054
689,QUEJ,11205.59766536965
331,IQQS,11153.159144893112
346,DELG,11099.815518606492
177,SYB5,11069.309580364212
172,SYBS,10852.707046714173
992,EXSD,10634.55250783699
240,AFIH,10601.55953307393
376,IQQC,10564.946951702295
24,EMSB,10469.329374505147
142,V3GE,10371.486218302094
103,SYBJ,10285.42711598746
748,ZPRV,10265.434679334918
595,SPYA,10261.79809976247
29,VGEB,10196.92679127726
916,ZPDU,10175.398258115598
155,4UBE,10149.256938937351
316,SC0D,10012.55250783699
